path,size,alpha_bbox,source
/Users/andou/Desktop/あ/game-creation/WitchTowerGame/Assets/Resources/FamilyMonsters/Golem/rock_golem.png,1254x1254,"(219, 244, 1034, 1059)",/Users/andou/Desktop/あ/game-creation/WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_0.png
/Users/andou/Desktop/あ/game-creation/WitchTowerGame/Assets/Resources/FamilyMonsterCards/Golem/rock_golem.png,768x768,"(134, 150, 633, 649)",/Users/andou/Desktop/あ/game-creation/WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_0.png
